year,school,winpct,wontitle,rank,top15,top5
2004,Illinois,0.272727272727272,0,1000,0,0
2004,Indiana,0.272727272727272,0,1000,0,0
2004,Iowa,0.833333333333333,0,8,1,0
2004,Michigan,0.75,0,14,1,0
2004,Michigan State,0.416666666666666,0,1000,0,0
2004,Minnesota,0.583333333333333,0,1000,0,0
2004,Nebraska,0.454545454545454,0,1000,0,0
2004,Northwestern,0.5,0,1000,0,0
2004,Ohio State,0.666666666666666,0,20,0,0
2004,Penn State,0.363636363636363,0,1000,0,0
2004,Purdue,0.583333333333333,0,1000,0,0
2004,Wisconsin,0.75,0,17,0,0
2004,Baylor,0.272727272727272,0,1000,0,0
2004,Iowa State,0.583333333333333,0,1000,0,0
2004,Kansas,0.363636363636363,0,1000,0,0
2004,Kansas State,0.363636363636363,0,1000,0,0
2004,Oklahoma,0.923076923076923,0,3,1,1
2004,Oklahoma State,0.583333333333333,0,1000,0,0
2004,TCU,0.454545454545454,0,1000,0,0
2004,Texas,0.916666666666666,0,5,1,1
2004,Texas Tech,0.666666666666666,0,18,0,0
2004,West Virginia,0.666666666666666,0,1000,0,0
2004,Arizona,0.272727272727272,0,1000,0,0
2004,Arizona State,0.75,0,19,0,0
2004,California,0.833333333333333,0,9,1,0
2004,UCLA,0.5,0,1000,0,0
2004,Colorado,0.615384615384615,0,1000,0,0
2004,Oregon,0.454545454545454,0,1000,0,0
2004,Oregon State,0.583333333333333,0,1000,0,0
2004,USC,1,1,1,1,1
2004,Stanford,0.363636363636363,0,1000,0,0
2004,Utah,1,0,4,1,1
2004,Washington,0.0909090909090909,0,1000,0,0
2004,Washington State,0.454545454545454,0,1000,0,0
2004,Alabama,0.5,0,1000,0,0
2004,Arkansas,0.454545454545454,0,1000,0,0
2004,Auburn,1,0,2,1,1
2004,Florida,0.583333333333333,0,1000,0,0
2004,Georgia,0.833333333333333,0,7,1,0
2004,Kentucky,0.181818181818181,0,1000,0,0
2004,LSU,0.75,0,16,0,0
2004,Ole Miss,0.363636363636363,0,1000,0,0
2004,Mississippi State,0.272727272727272,0,1000,0,0
2004,Missouri,0.454545454545454,0,1000,0,0
2004,South Carolina,0.545454545454545,0,1000,0,0
2004,Tennessee,0.769230769230769,0,13,1,0
2004,Texas A&M,0.583333333333333,0,1000,0,0
2004,Vanderbilt,0.181818181818181,0,1000,0,0
2005,Boston College,0.75,0,18,0,0
2005,Clemson,0.666666666666666,0,21,0,0
2005,Duke,0.0909090909090909,0,1000,0,0
2005,Florida State,0.615384615384615,0,23,0,0
2005,Georgia Tech,0.583333333333333,0,1000,0,0
2005,Miami,0.75,0,17,0,0
2005,North Carolina,0.454545454545454,0,1000,0,0
2005,NC State,0.583333333333333,0,1000,0,0
2005,Pittsburgh,0.454545454545454,0,1000,0,0
2005,Syracuse,0.0909090909090909,0,1000,0,0
2005,Virginia,0.583333333333333,0,1000,0,0
2005,Virginia Tech,0.846153846153846,0,7,1,0
2005,Wake Forest,0.363636363636363,0,1000,0,0
2005,Notre Dame,0.75,0,9,1,0
2005,Illinois,0.181818181818181,0,1000,0,0
2005,Indiana,0.363636363636363,0,1000,0,0
2005,Iowa,0.583333333333333,0,1000,0,0
2005,Michigan,0.583333333333333,0,1000,0,0
2005,Michigan State,0.454545454545454,0,1000,0,0
2005,Minnesota,0.583333333333333,0,1000,0,0
2005,Nebraska,0.666666666666666,0,24,0,0
2005,Northwestern,0.583333333333333,0,1000,0,0
2005,Ohio State,0.833333333333333,0,4,1,1
2005,Penn State,0.916666666666666,0,3,1,1
2005,Purdue,0.454545454545454,0,1000,0,0
2005,Wisconsin,0.769230769230769,0,15,1,0
2005,Baylor,0.454545454545454,0,1000,0,0
2005,Iowa State,0.583333333333333,0,1000,0,0
2005,Kansas,0.583333333333333,0,1000,0,0
2005,Kansas State,0.454545454545454,0,1000,0,0
2005,Oklahoma,0.666666666666666,0,22,0,0
2005,Oklahoma State,0.363636363636363,0,1000,0,0
2005,TCU,0.916666666666666,0,11,1,0
2005,Texas,1,1,1,1,1
2005,Texas Tech,0.75,0,20,0,0
2005,West Virginia,0.916666666666666,0,5,1,1
2005,Arizona,0.272727272727272,0,1000,0,0
2005,Arizona State,0.583333333333333,0,1000,0,0
2005,California,0.666666666666666,0,25,0,0
2005,UCLA,0.833333333333333,0,16,0,0
2005,Colorado,0.538461538461538,0,1000,0,0
2005,Oregon,0.833333333333333,0,12,1,0
2005,Oregon State,0.454545454545454,0,1000,0,0
2005,USC,0.923076923076923,0,2,1,1
2005,Stanford,0.454545454545454,0,1000,0,0
2005,Utah,0.583333333333333,0,1000,0,0
2005,Washington,0.181818181818181,0,1000,0,0
2005,Washington State,0.363636363636363,0,1000,0,0
2005,Alabama,0.833333333333333,0,8,1,0
2005,Arkansas,0.363636363636363,0,1000,0,0
2005,Auburn,0.75,0,14,1,0
2005,Florida,0.75,0,13,1,0
2005,Georgia,0.769230769230769,0,10,1,0
2005,Kentucky,0.272727272727272,0,1000,0,0
2005,LSU,0.846153846153846,0,6,1,0
2005,Ole Miss,0.272727272727272,0,1000,0,0
2005,Mississippi State,0.272727272727272,0,1000,0,0
2005,Missouri,0.583333333333333,0,1000,0,0
2005,South Carolina,0.583333333333333,0,1000,0,0
2005,Tennessee,0.454545454545454,0,1000,0,0
2005,Texas A&M,0.454545454545454,0,1000,0,0
2005,Vanderbilt,0.454545454545454,0,1000,0,0
2006,Boston College,0.769230769230769,0,20,0,0
2006,Clemson,0.615384615384615,0,1000,0,0
2006,Duke,0,0,1000,0,0
2006,Florida State,0.538461538461538,0,1000,0,0
2006,Georgia Tech,0.642857142857142,0,1000,0,0
2006,Miami,0.538461538461538,0,1000,0,0
2006,North Carolina,0.25,0,1000,0,0
2006,NC State,0.25,0,1000,0,0
2006,Pittsburgh,0.5,0,1000,0,0
2006,Syracuse,0.333333333333333,0,1000,0,0
2006,Virginia,0.416666666666666,0,1000,0,0
2006,Virginia Tech,0.769230769230769,0,19,0,0
2006,Wake Forest,0.785714285714285,0,18,0,0
2006,Notre Dame,0.769230769230769,0,17,0,0
2006,Illinois,0.166666666666666,0,1000,0,0
2006,Indiana,0.416666666666666,0,1000,0,0
2006,Iowa,0.461538461538461,0,1000,0,0
2006,Michigan,0.846153846153846,0,8,1,0
2006,Michigan State,0.333333333333333,0,1000,0,0
2006,Minnesota,0.461538461538461,0,1000,0,0
2006,Nebraska,0.642857142857142,0,1000,0,0
