unitid,school,year,state,admitRate,yield,applications,admissions,enrollments,avgSAT75,ACTcomposite75
223232,Baylor University,2002,Texas,0.81,0.43,7431,6028,2620,640,NA
228723,Texas A & M University-College Station,2002,Texas,0.68,0.59,17284,11777,6949,645,27
228778,The University of Texas at Austin,2002,Texas,0.61,0.59,22178,13473,7935,665,28
228875,Texas Christian University,2002,Texas,0.71,0.33,6137,4380,1451,625,27
229115,Texas Tech University,2002,Texas,0.69,0.5,13101,9039,4531,600,26
230764,University of Utah,2002,Utah,0.9,0.45,5802,5221,2350,NA,25
233921,Virginia Polytechnic Institute and State University,2002,Virginia,0.68,0.39,17900,12131,4735,645,NA
234076,University of Virginia-Main Campus,2002,Virginia,0.39,0.54,14320,5588,2999,710,31
236939,Washington State University,2002,Washington,0.77,0.41,8932,6885,2790,585,NA
236948,University of Washington-Seattle Campus,2002,Washington,0.69,0.45,15633,10787,4846,645,NA
238032,West Virginia University,2002,West Virginia,0.94,0.44,8786,8238,3661,562.5,25
240444,University of Wisconsin-Madison,2002,Wisconsin,0.71,0.45,19249,13683,6095,NA,29
243744,Stanford University,2002,California,0.13,0.69,18599,2368,1639,770,33
243780,Purdue University-Main Campus,2002,Indiana,0.76,0.36,22872,17292,6208,635,28
100751,The University of Alabama,2003,Alabama,0.87,0.43,8298,7194,3077,NA,26
100858,Auburn University,2003,Alabama,0.78,0.38,12439,9653,3706,610,27
104151,Arizona State University-Tempe,2003,Arizona,0.88,0.41,19785,17490,7126,610,26
104179,University of Arizona,2003,Arizona,0.85,0.33,21185,18021,5958,620,26
106397,University of Arkansas,2003,Arkansas,0.85,0.51,5491,4661,2357,655,28
110635,University of California-Berkeley,2003,California,0.24,0.42,36445,8707,3653,720,NA
110662,University of California-Los Angeles,2003,California,0.24,0.41,43436,10454,4257,695,NA
123961,University of Southern California,2003,California,0.3,0.34,29278,8753,2976,710,31
126614,University of Colorado Boulder,2003,Colorado,0.8,0.33,20920,16790,5586,640,28
134097,Florida State University,2003,Florida,0.64,0.42,22438,14465,6097,625,27
134130,University of Florida,2003,Florida,0.52,0.55,22973,12029,6596,670,NA
135726,University of Miami,2003,Florida,0.44,0.28,16851,7490,2078,670,30
139755,Georgia Institute of Technology-Main Campus,2003,Georgia,0.63,0.42,8573,5386,2237,715,NA
139959,University of Georgia,2003,Georgia,0.75,0.58,11813,8885,5190,650,28
145637,University of Illinois at Urbana-Champaign,2003,Illinois,0.6,0.49,21484,12924,6366,NA,30
147767,Northwestern University,2003,Illinois,0.33,0.43,14283,4701,2005,740,33
151351,Indiana University-Bloomington,2003,Indiana,0.81,0.38,22178,17992,6784,610,27
152080,University of Notre Dame,2003,Indiana,0.29,0.57,12095,3524,1996,730,33
153603,Iowa State University,2003,Iowa,0.9,0.48,9035,8116,3897,665,27
153658,University of Iowa,2003,Iowa,0.82,0.37,13337,10979,4083,650,27
155317,University of Kansas,2003,Kansas,0.67,0.63,9573,6458,4074,NA,27
155399,Kansas State University,2003,Kansas,0.6,0.73,7952,4736,3439,NA,25
157085,University of Kentucky,2003,Kentucky,0.82,0.51,8879,7250,3718,625,26
157289,University of Louisville,2003,Kentucky,0.77,0.57,5306,4076,2318,NA,26
159391,Louisiana State University and Agricultural & Mechanical College,2003,Louisiana,0.77,0.66,10376,7973,5262,NA,27
163286,University of Maryland-College Park,2003,Maryland,0.43,0.38,25028,10679,4063,685,NA
164924,Boston College,2003,Massachusetts,0.31,0.32,22424,6896,2208,700,NA
170976,University of Michigan-Ann Arbor,2003,Michigan,0.53,0.4,25943,13814,5553,705,30
171100,Michigan State University,2003,Michigan,0.71,0.4,24973,17690,7122,635,27
